[18:22:23.312299] (system)	Session started.
[18:22:23.313313] (debug)	Module handle: 6A4E0000

MoonLoader v.026.5-beta loaded.
Developers: FYP, hnnssy, EvgeN 1137

Copyright (c) 2016, BlastHack Team
http://blast.hk/moonloader/

[18:22:23.313313] (info)	Working directory: F:\Game\GTA SA SAMP\gta sa by jode\moonloader
[18:22:23.313313] (debug)	FP Control: 0009001F
[18:22:23.313313] (debug)	Game: GTA SA 1.0.0.0 US
[18:22:23.313313] (system)	Installing pre-game hooks...
[18:22:23.314843] (system)	Hooks installed.
[18:22:24.397468] (debug)	Initializing opcode handler table
[18:22:24.397468] (debug)	package.path = F:\Game\GTA SA SAMP\gta sa by jode\moonloader\lib\?.lua;F:\Game\GTA SA SAMP\gta sa by jode\moonloader\lib\?\init.lua;F:\Game\GTA SA SAMP\gta sa by jode\moonloader\?.lua;F:\Game\GTA SA SAMP\gta sa by jode\moonloader\?\init.lua;.\?.lua;F:\Game\GTA SA SAMP\gta sa by jode\moonloader\lib\?.luac;F:\Game\GTA SA SAMP\gta sa by jode\moonloader\lib\?\init.luac;F:\Game\GTA SA SAMP\gta sa by jode\moonloader\?.luac;F:\Game\GTA SA SAMP\gta sa by jode\moonloader\?\init.luac;.\?.luac
[18:22:24.397468] (debug)	package.cpath = F:\Game\GTA SA SAMP\gta sa by jode\moonloader\lib\?.dll;
[18:22:24.403142] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\AutoOtot.luac'...
[18:22:24.403142] (debug)	New script: 0EFDC50C
[18:22:24.416328] (system)	AutoOtot: Loaded successfully.
[18:22:24.416328] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\autowalk.lua'...
[18:22:24.416328] (debug)	New script: 0EFDC9A4
[18:22:24.420316] (system)	autowalk.lua: Loaded successfully.
[18:22:24.420316] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\dmginf.lua'...
[18:22:24.420316] (debug)	New script: 0EFDCB2C
[18:22:24.638340] (system)	dmginf.lua: Loaded successfully.
[18:22:24.638340] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\GameFixer.lua'...
[18:22:24.638340] (debug)	New script: 0EFDC81C
[18:22:24.659452] (system)	GameFixer.lua: Loaded successfully.
[18:22:24.659452] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\indrive.lua'...
[18:22:24.659452] (debug)	New script: 0EFDBD64
[18:22:24.669480] (system)	indrive.lua: Loaded successfully.
[18:22:24.670490] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\invoice.lua'...
[18:22:24.670490] (debug)	New script: 0EFDBEEC
[18:22:24.675594] (system)	invoice.lua: Loaded successfully.
[18:22:24.675594] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\kalkulator.lua'...
[18:22:24.675594] (debug)	New script: 0EFDC694
[18:22:24.688028] (system)	kalkulator.lua: Loaded successfully.
[18:22:24.688028] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\killStreakBlade.lua'...
[18:22:24.688028] (debug)	New script: 0EFDC074
[18:22:24.695325] (system)	killStreakBlade.lua: Loaded successfully.
[18:22:24.695325] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\lib.lua'...
[18:22:24.695325] (debug)	New script: 0F06DBE4
[18:22:24.696209] (system)	lib.lua: Loaded successfully.
[18:22:24.696209] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\medis.lua'...
[18:22:24.696209] (debug)	New script: 0F06E824
[18:22:24.712801] (system)	medis.lua: Loaded successfully.
[18:22:24.712801] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\nametags.lua'...
[18:22:24.712801] (debug)	New script: 0F06D2B4
[18:22:24.721376] (system)	nametags: Loaded successfully.
[18:22:24.722381] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\Police Helper Reborn.luac'...
[18:22:24.722381] (debug)	New script: 0F06E38C
[18:22:24.755279] (system)	Police Helper Manager: Loaded successfully.
[18:22:24.755279] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\simple-fpsboost.lua'...
[18:22:24.755279] (debug)	New script: 0F06D8D4
[18:22:24.756283] (system)	simple-fpsboost.lua: Loaded successfully.
[18:22:24.756283] (system)	Loading script 'F:\Game\GTA SA SAMP\gta sa by jode\moonloader\workshop.lua'...
[18:22:24.757279] (debug)	New script: 0F06DA5C
[18:22:24.767338] (system)	workshop.lua: Loaded successfully.
[18:22:24.768337] (system)	lib.lua: Script terminated. (0F06DBE4)
[18:22:35.028044] (system)	Installing post-load hooks...
[18:22:35.029062] (system)	Hooks installed.
